 # wave  galcen local
 1.240 2.724 2.724
 1.340 2.315 2.315
 1.440 2.002 2.002
 1.540 1.759 1.759
 1.640 1.565 1.565
 1.740 1.408 1.408
 1.840 1.279 1.279
 1.940 1.171 1.171
 2.040 1.081 1.081
 2.140 1.004 1.004
 2.240 0.938 0.938
 2.340 0.881 0.881
 2.440 0.832 0.832
 2.540 0.788 0.788
 2.640 0.750 0.750
 2.740 0.716 0.716
 2.840 0.686 0.686
 2.940 0.659 0.659
 3.040 0.634 0.634
 3.140 0.613 0.613
 3.240 0.593 0.593
 3.340 0.575 0.575
 3.440 0.558 0.558
 3.540 0.544 0.544
 3.640 0.530 0.530
 3.740 0.517 0.517
 3.840 0.506 0.506
 3.940 0.496 0.496
 4.040 0.486 0.486
 4.140 0.477 0.477
 4.240 0.469 0.469
 4.340 0.461 0.461
 4.440 0.454 0.454
 4.540 0.447 0.447
 4.640 0.441 0.441
 4.740 0.436 0.436
 4.840 0.431 0.431
 4.940 0.426 0.426
 5.040 0.421 0.421
 5.140 0.417 0.417
 5.240 0.413 0.413
 5.340 0.410 0.410
 5.440 0.406 0.406
 5.540 0.403 0.403
 5.640 0.400 0.400
 5.740 0.398 0.398
 5.840 0.395 0.395
 5.940 0.393 0.393
 6.040 0.391 0.391
 6.140 0.389 0.389
 6.240 0.387 0.387
 6.340 0.386 0.386
 6.440 0.384 0.384
 6.540 0.383 0.383
 6.640 0.382 0.382
 6.740 0.381 0.381
 6.840 0.380 0.380
 6.940 0.379 0.379
 7.040 0.378 0.378
 7.140 0.378 0.378
 7.240 0.377 0.377
 7.340 0.377 0.377
 7.440 0.376 0.376
 7.540 0.376 0.376
 7.640 0.376 0.376
 7.740 0.376 0.376
 7.840 0.376 0.376
 7.940 0.376 0.376
 8.100 0.413 0.407
 8.200 0.447 0.428
 8.300 0.494 0.450
 8.400 0.552 0.475
 8.500 0.622 0.506
 8.600 0.699 0.542
 8.700 0.776 0.582
 8.800 0.848 0.622
 8.900 0.909 0.663
 9.000 0.972 0.707
 9.100 1.058 0.757
 9.200 1.166 0.814
 9.300 1.253 0.872
 9.400 1.317 0.917
 9.500 1.366 0.946
 9.600 1.391 0.972
 9.700 1.385 0.996
 9.800 1.354 1.006
 9.900 1.327 1.000
10.000 1.305 0.983
10.100 1.274 0.961
10.200 1.228 0.938
10.300 1.176 0.914
10.400 1.126 0.889
10.500 1.084 0.865
10.600 1.049 0.843
10.700 1.017 0.823
10.800 0.987 0.805
10.900 0.954 0.788
11.000 0.917 0.771
11.100 0.877 0.754
11.200 0.835 0.737
11.300 0.793 0.718
11.400 0.754 0.699
11.500 0.717 0.680
11.600 0.682 0.663
11.700 0.649 0.647
11.800 0.616 0.633
11.900 0.584 0.620
12.000 0.552 0.609
12.100 0.522 0.598
12.200 0.496 0.586
12.300 0.474 0.575
12.400 0.458 0.564
12.500 0.447 0.555
12.600 0.441 0.547
12.700 0.438 0.540
12.800 0.435 0.536
12.900 0.433 0.533
13.000 0.431 0.530
13.100 0.429 0.529
13.200 0.427 0.528
13.300 0.425 0.527
13.400 0.424 0.528
13.500 0.424 0.528
13.600 0.424 0.529
13.700 0.424 0.530
13.800 0.424 0.532
