#  x        ext        unc
10.9546   5.66618   0.841267
10.9103   6.40194   0.564267
10.8662   5.77457   0.14915
10.8223   5.79106   0.168216
10.7785   5.70592   0.148527
10.7349   5.72051   0.453437
10.6915   5.49183   0.15257
10.6483   5.41765   0.186925
10.6052   5.51848   0.144917
10.5623   5.41397   0.542937
10.5196   5.31807   0.144074
10.4771   5.32059   0.154166
10.4347   5.31287   0.139096
10.3925   5.08549   0.142622
10.3087   5.40957   0.149361
10.267 	  5.10527   0.152435
10.2255   4.9687    0.138154
10.1841   4.90159   0.22776
10.1019   4.80515   0.152251
10.0611   4.87271   0.137892
10.0204   4.93841   0.128214
9.97986   4.72152   0.210881
9.93951   4.87334   0.132385
9.89931   4.93926   0.532321
9.85929   4.53512   0.234241
9.81942   4.76922   0.130432
9.77971   4.78194   0.141754
9.70078   4.72528   0.126149
9.66155   4.56487   0.135772
9.62249   4.48517   0.133049
9.58357   4.46397   0.113491
9.54482   4.43617   0.112876
9.50623   4.54009   0.130662
9.46779   4.42218   0.112918
9.4295 	  4.3535    0.112409
9.39137   4.24038   0.134404
9.3534 	  4.31097   0.108662
9.31557   4.20365   0.110052
9.27791   3.99197   0.127927
9.24039   4.17342   0.105854
9.20302   4.06771   0.101012
9.16581   4.06164   0.101105
9.12875   4.07516   0.103142
9.09183   4.05083   0.100781
9.05507   3.99641   0.0992076
9.01845   3.93076   0.100922
8.98199   3.94753   0.0980583
8.94567   3.90736   0.095052
8.90949   3.8829    0.0977723
8.87346   3.851     0.0999428
8.83758   3.80554   0.0968485
8.80185   3.77639   0.0935959
8.76626   3.77054   0.0962254
8.73081   3.71965   0.0934298
8.6955 	  3.69324   0.0901496
8.66034   3.68308   0.0914562
8.62532   3.62794   0.0869283
8.59044   3.57599   0.0827114
8.55571   3.62095   0.0839611
8.52111   3.51596   0.0824688
8.48665   3.48092   0.0881894
8.45234   3.45548   0.0836739
8.41816   3.45695   0.0927445
