Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"LMC 2" dust with C/H = b_C = 10.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-02 0.3633  0.9884 2.374E-22 2.665E+04
1.006E-02 0.3616  0.9883 2.378E-22 2.678E+04
1.012E-02 0.3598  0.9882 2.382E-22 2.690E+04
1.017E-02 0.3581  0.9881 2.386E-22 2.702E+04
1.023E-02 0.3563  0.9879 2.391E-22 2.714E+04
1.029E-02 0.3545  0.9878 2.395E-22 2.726E+04
1.035E-02 0.3524  0.9877 2.397E-22 2.738E+04
1.041E-02 0.3495  0.9877 2.397E-22 2.750E+04
1.047E-02 0.3464  0.9876 2.397E-22 2.763E+04
1.053E-02 0.3408  0.9876 2.388E-22 2.776E+04
1.059E-02 0.3295  0.9879 2.361E-22 2.792E+04
1.065E-02 0.3281  0.9877 2.367E-22 2.804E+04
1.072E-02 0.3511  0.9895 2.128E-22 2.435E+04
1.078E-02 0.3498  0.9894 2.134E-22 2.447E+04
1.084E-02 0.3621  0.9888 2.182E-22 2.455E+04
1.090E-02 0.3689  0.9884 2.214E-22 2.464E+04
1.096E-02 0.3704  0.9882 2.229E-22 2.475E+04
1.103E-02 0.3718  0.9879 2.244E-22 2.486E+04
1.109E-02 0.3729  0.9877 2.258E-22 2.497E+04
1.116E-02 0.3738  0.9875 2.271E-22 2.508E+04
1.122E-02 0.3746  0.9872 2.284E-22 2.519E+04
1.128E-02 0.3752  0.9870 2.296E-22 2.531E+04
1.135E-02 0.3756  0.9868 2.308E-22 2.542E+04
1.142E-02 0.3759  0.9865 2.319E-22 2.553E+04
1.148E-02 0.3760  0.9863 2.330E-22 2.564E+04
1.155E-02 0.3760  0.9861 2.340E-22 2.575E+04
1.161E-02 0.3759  0.9859 2.350E-22 2.587E+04
1.168E-02 0.3757  0.9857 2.359E-22 2.598E+04
1.175E-02 0.3753  0.9855 2.368E-22 2.609E+04
1.182E-02 0.3748  0.9853 2.377E-22 2.621E+04
1.189E-02 0.3743  0.9851 2.385E-22 2.632E+04
1.195E-02 0.3736  0.9849 2.393E-22 2.643E+04
1.202E-02 0.3728  0.9847 2.400E-22 2.655E+04
1.209E-02 0.3720  0.9845 2.407E-22 2.666E+04
1.216E-02 0.3711  0.9843 2.414E-22 2.677E+04
1.223E-02 0.3701  0.9841 2.420E-22 2.689E+04
1.230E-02 0.3690  0.9839 2.426E-22 2.700E+04
1.237E-02 0.3679  0.9837 2.432E-22 2.711E+04
1.245E-02 0.3667  0.9835 2.438E-22 2.723E+04
1.252E-02 0.3654  0.9834 2.443E-22 2.734E+04
1.259E-02 0.3640  0.9832 2.448E-22 2.746E+04
1.266E-02 0.3626  0.9830 2.453E-22 2.757E+04
1.274E-02 0.3611  0.9828 2.457E-22 2.769E+04
1.281E-02 0.3541  0.9830 2.442E-22 2.782E+04
1.288E-02 0.3641  0.9828 2.433E-22 2.728E+04
1.296E-02 0.3643  0.9826 2.443E-22 2.739E+04
1.303E-02 0.3646  0.9823 2.454E-22 2.749E+04
1.311E-02 0.3642  0.9821 2.462E-22 2.760E+04
1.318E-02 0.3631  0.9819 2.467E-22 2.771E+04
1.326E-02 0.3616  0.9817 2.472E-22 2.783E+04
1.334E-02 0.3598  0.9815 2.475E-22 2.794E+04
1.341E-02 0.3595  0.9813 2.483E-22 2.804E+04
1.349E-02 0.3653  0.9815 2.448E-22 2.740E+04
1.357E-02 0.3660  0.9812 2.460E-22 2.751E+04
1.365E-02 0.3665  0.9809 2.471E-22 2.761E+04
1.372E-02 0.3670  0.9806 2.482E-22 2.771E+04
1.380E-02 0.3671  0.9803 2.492E-22 2.782E+04
1.388E-02 0.3670  0.9800 2.501E-22 2.792E+04
1.396E-02 0.3668  0.9797 2.510E-22 2.803E+04
1.404E-02 0.3665  0.9794 2.518E-22 2.813E+04
1.413E-02 0.3663  0.9792 2.526E-22 2.824E+04
1.421E-02 0.3660  0.9789 2.535E-22 2.834E+04
1.429E-02 0.3656  0.9786 2.543E-22 2.845E+04
1.437E-02 0.3653  0.9783 2.551E-22 2.856E+04
1.445E-02 0.3649  0.9780 2.559E-22 2.866E+04
1.454E-02 0.3645  0.9778 2.567E-22 2.877E+04
1.462E-02 0.3641  0.9775 2.575E-22 2.888E+04
1.471E-02 0.3637  0.9772 2.582E-22 2.898E+04
1.479E-02 0.3632  0.9769 2.590E-22 2.909E+04
1.488E-02 0.3628  0.9766 2.598E-22 2.919E+04
1.496E-02 0.3623  0.9763 2.605E-22 2.930E+04
1.505E-02 0.3619  0.9761 2.613E-22 2.940E+04
1.514E-02 0.3614  0.9758 2.620E-22 2.951E+04
1.522E-02 0.3609  0.9755 2.628E-22 2.962E+04
1.531E-02 0.3604  0.9752 2.635E-22 2.972E+04
1.540E-02 0.3599  0.9749 2.642E-22 2.983E+04
1.549E-02 0.3594  0.9746 2.649E-22 2.993E+04
1.558E-02 0.3589  0.9743 2.657E-22 3.004E+04
1.567E-02 0.3584  0.9740 2.664E-22 3.014E+04
1.576E-02 0.3579  0.9737 2.671E-22 3.025E+04
