Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"average LMC" dust with C/H = b_C = 20.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-02 0.3401  0.9866 2.184E-22 2.639E+04
1.006E-02 0.3383  0.9864 2.189E-22 2.652E+04
1.012E-02 0.3366  0.9863 2.194E-22 2.665E+04
1.017E-02 0.3348  0.9862 2.199E-22 2.678E+04
1.023E-02 0.3330  0.9860 2.204E-22 2.692E+04
1.029E-02 0.3312  0.9859 2.209E-22 2.705E+04
1.035E-02 0.3291  0.9858 2.213E-22 2.718E+04
1.041E-02 0.3262  0.9857 2.214E-22 2.732E+04
1.047E-02 0.3232  0.9856 2.215E-22 2.745E+04
1.053E-02 0.3180  0.9856 2.210E-22 2.760E+04
1.059E-02 0.3076  0.9859 2.190E-22 2.776E+04
1.065E-02 0.3062  0.9857 2.196E-22 2.789E+04
1.072E-02 0.3300  0.9877 1.968E-22 2.414E+04
1.078E-02 0.3286  0.9875 1.974E-22 2.427E+04
1.084E-02 0.3395  0.9869 2.015E-22 2.437E+04
1.090E-02 0.3454  0.9865 2.042E-22 2.448E+04
1.096E-02 0.3466  0.9862 2.056E-22 2.460E+04
1.103E-02 0.3476  0.9860 2.070E-22 2.472E+04
1.109E-02 0.3484  0.9857 2.083E-22 2.485E+04
1.116E-02 0.3491  0.9854 2.095E-22 2.497E+04
1.122E-02 0.3495  0.9852 2.107E-22 2.510E+04
1.128E-02 0.3498  0.9849 2.119E-22 2.522E+04
1.135E-02 0.3500  0.9846 2.130E-22 2.535E+04
1.142E-02 0.3501  0.9844 2.141E-22 2.547E+04
1.148E-02 0.3500  0.9841 2.151E-22 2.560E+04
1.155E-02 0.3498  0.9839 2.161E-22 2.573E+04
1.161E-02 0.3495  0.9836 2.171E-22 2.586E+04
1.168E-02 0.3490  0.9834 2.180E-22 2.598E+04
1.175E-02 0.3485  0.9831 2.189E-22 2.611E+04
1.182E-02 0.3479  0.9829 2.198E-22 2.624E+04
1.189E-02 0.3472  0.9827 2.206E-22 2.637E+04
1.195E-02 0.3464  0.9825 2.214E-22 2.650E+04
1.202E-02 0.3455  0.9822 2.222E-22 2.663E+04
1.209E-02 0.3446  0.9820 2.230E-22 2.676E+04
1.216E-02 0.3435  0.9818 2.237E-22 2.689E+04
1.223E-02 0.3425  0.9816 2.244E-22 2.701E+04
1.230E-02 0.3413  0.9814 2.251E-22 2.714E+04
1.237E-02 0.3401  0.9811 2.257E-22 2.727E+04
1.245E-02 0.3388  0.9809 2.263E-22 2.740E+04
1.252E-02 0.3375  0.9807 2.270E-22 2.753E+04
1.259E-02 0.3361  0.9805 2.276E-22 2.766E+04
1.266E-02 0.3346  0.9803 2.282E-22 2.780E+04
1.274E-02 0.3331  0.9801 2.287E-22 2.793E+04
1.281E-02 0.3266  0.9803 2.277E-22 2.808E+04
1.288E-02 0.3358  0.9801 2.265E-22 2.754E+04
1.296E-02 0.3358  0.9798 2.275E-22 2.766E+04
1.303E-02 0.3359  0.9795 2.286E-22 2.779E+04
1.311E-02 0.3353  0.9792 2.294E-22 2.792E+04
1.318E-02 0.3342  0.9790 2.301E-22 2.805E+04
1.326E-02 0.3327  0.9788 2.306E-22 2.818E+04
1.334E-02 0.3309  0.9786 2.311E-22 2.831E+04
1.341E-02 0.3304  0.9783 2.319E-22 2.843E+04
1.349E-02 0.3359  0.9786 2.286E-22 2.779E+04
1.357E-02 0.3364  0.9782 2.297E-22 2.792E+04
1.365E-02 0.3367  0.9779 2.309E-22 2.804E+04
1.372E-02 0.3368  0.9775 2.320E-22 2.816E+04
1.380E-02 0.3368  0.9772 2.330E-22 2.829E+04
1.388E-02 0.3365  0.9769 2.339E-22 2.841E+04
1.396E-02 0.3361  0.9766 2.348E-22 2.854E+04
1.404E-02 0.3357  0.9762 2.357E-22 2.867E+04
1.413E-02 0.3352  0.9759 2.366E-22 2.879E+04
1.421E-02 0.3348  0.9756 2.375E-22 2.892E+04
1.429E-02 0.3343  0.9753 2.383E-22 2.905E+04
1.437E-02 0.3338  0.9750 2.392E-22 2.918E+04
1.445E-02 0.3333  0.9747 2.401E-22 2.931E+04
1.454E-02 0.3327  0.9743 2.409E-22 2.944E+04
1.462E-02 0.3321  0.9740 2.418E-22 2.957E+04
1.471E-02 0.3316  0.9737 2.426E-22 2.970E+04
1.479E-02 0.3310  0.9734 2.435E-22 2.982E+04
1.488E-02 0.3304  0.9730 2.443E-22 2.995E+04
1.496E-02 0.3298  0.9727 2.452E-22 3.008E+04
1.505E-02 0.3292  0.9724 2.460E-22 3.022E+04
1.514E-02 0.3285  0.9721 2.468E-22 3.035E+04
1.522E-02 0.3279  0.9717 2.477E-22 3.048E+04
1.531E-02 0.3272  0.9714 2.485E-22 3.061E+04
1.540E-02 0.3266  0.9711 2.493E-22 3.074E+04
1.549E-02 0.3259  0.9707 2.502E-22 3.087E+04
1.558E-02 0.3253  0.9704 2.510E-22 3.100E+04
1.567E-02 0.3247  0.9700 2.518E-22 3.113E+04
1.576E-02 0.3240  0.9697 2.526E-22 3.127E+04
