Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"SMC bar" dust with C/H = b_C = 0 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.000E-02 0.3444  0.9861 1.729E-22 3.233E+04
1.006E-02 0.3426  0.9860 1.733E-22 3.249E+04
1.012E-02 0.3409  0.9859 1.736E-22 3.265E+04
1.017E-02 0.3391  0.9857 1.740E-22 3.280E+04
1.023E-02 0.3374  0.9856 1.744E-22 3.296E+04
1.029E-02 0.3356  0.9854 1.748E-22 3.312E+04
1.035E-02 0.3335  0.9853 1.750E-22 3.328E+04
1.041E-02 0.3304  0.9852 1.751E-22 3.344E+04
1.047E-02 0.3273  0.9852 1.751E-22 3.360E+04
1.053E-02 0.3215  0.9852 1.745E-22 3.378E+04
1.059E-02 0.3097  0.9855 1.726E-22 3.398E+04
1.065E-02 0.3083  0.9853 1.730E-22 3.414E+04
1.072E-02 0.3308  0.9873 1.520E-22 2.902E+04
1.078E-02 0.3295  0.9872 1.526E-22 2.918E+04
1.084E-02 0.3425  0.9865 1.562E-22 2.929E+04
1.090E-02 0.3499  0.9861 1.586E-22 2.941E+04
1.096E-02 0.3517  0.9858 1.598E-22 2.956E+04
1.103E-02 0.3533  0.9855 1.610E-22 2.970E+04
1.109E-02 0.3547  0.9852 1.621E-22 2.984E+04
1.116E-02 0.3558  0.9850 1.632E-22 2.999E+04
1.122E-02 0.3568  0.9847 1.642E-22 3.013E+04
1.128E-02 0.3576  0.9845 1.652E-22 3.028E+04
1.135E-02 0.3582  0.9842 1.662E-22 3.042E+04
1.142E-02 0.3587  0.9839 1.671E-22 3.057E+04
1.148E-02 0.3590  0.9837 1.680E-22 3.071E+04
1.155E-02 0.3592  0.9834 1.688E-22 3.086E+04
1.161E-02 0.3592  0.9832 1.696E-22 3.101E+04
1.168E-02 0.3591  0.9829 1.704E-22 3.115E+04
1.175E-02 0.3589  0.9827 1.712E-22 3.130E+04
1.182E-02 0.3585  0.9825 1.719E-22 3.145E+04
1.189E-02 0.3581  0.9822 1.725E-22 3.159E+04
1.195E-02 0.3575  0.9820 1.732E-22 3.174E+04
1.202E-02 0.3568  0.9818 1.738E-22 3.189E+04
1.209E-02 0.3561  0.9816 1.744E-22 3.203E+04
1.216E-02 0.3552  0.9814 1.750E-22 3.218E+04
1.223E-02 0.3543  0.9811 1.755E-22 3.232E+04
1.230E-02 0.3533  0.9809 1.760E-22 3.247E+04
1.237E-02 0.3522  0.9807 1.765E-22 3.261E+04
1.245E-02 0.3510  0.9805 1.770E-22 3.276E+04
1.252E-02 0.3498  0.9803 1.774E-22 3.290E+04
1.259E-02 0.3484  0.9801 1.778E-22 3.305E+04
1.266E-02 0.3470  0.9799 1.782E-22 3.320E+04
1.274E-02 0.3456  0.9797 1.786E-22 3.334E+04
1.281E-02 0.3381  0.9799 1.775E-22 3.351E+04
1.288E-02 0.3487  0.9797 1.763E-22 3.276E+04
1.296E-02 0.3491  0.9794 1.771E-22 3.289E+04
1.303E-02 0.3496  0.9791 1.780E-22 3.303E+04
1.311E-02 0.3493  0.9788 1.787E-22 3.316E+04
1.318E-02 0.3483  0.9786 1.792E-22 3.330E+04
1.326E-02 0.3468  0.9784 1.795E-22 3.345E+04
1.334E-02 0.3450  0.9782 1.798E-22 3.359E+04
1.341E-02 0.3448  0.9779 1.804E-22 3.372E+04
1.349E-02 0.3508  0.9782 1.772E-22 3.282E+04
1.357E-02 0.3518  0.9778 1.782E-22 3.295E+04
1.365E-02 0.3525  0.9775 1.791E-22 3.308E+04
1.372E-02 0.3531  0.9771 1.800E-22 3.321E+04
1.380E-02 0.3535  0.9768 1.808E-22 3.334E+04
1.388E-02 0.3534  0.9765 1.815E-22 3.347E+04
1.396E-02 0.3534  0.9762 1.822E-22 3.360E+04
1.404E-02 0.3533  0.9759 1.828E-22 3.373E+04
1.413E-02 0.3531  0.9755 1.835E-22 3.386E+04
1.421E-02 0.3530  0.9752 1.842E-22 3.399E+04
1.429E-02 0.3527  0.9749 1.848E-22 3.412E+04
1.437E-02 0.3525  0.9746 1.855E-22 3.425E+04
1.445E-02 0.3522  0.9743 1.861E-22 3.439E+04
1.454E-02 0.3520  0.9740 1.867E-22 3.452E+04
1.462E-02 0.3517  0.9736 1.873E-22 3.465E+04
1.471E-02 0.3513  0.9733 1.879E-22 3.477E+04
1.479E-02 0.3510  0.9730 1.885E-22 3.490E+04
1.488E-02 0.3506  0.9727 1.891E-22 3.503E+04
1.496E-02 0.3503  0.9724 1.897E-22 3.516E+04
1.505E-02 0.3499  0.9720 1.903E-22 3.529E+04
1.514E-02 0.3495  0.9717 1.909E-22 3.542E+04
1.522E-02 0.3491  0.9714 1.915E-22 3.555E+04
1.531E-02 0.3487  0.9710 1.920E-22 3.568E+04
1.540E-02 0.3483  0.9707 1.926E-22 3.580E+04
1.549E-02 0.3479  0.9704 1.932E-22 3.593E+04
1.558E-02 0.3475  0.9700 1.937E-22 3.606E+04
1.567E-02 0.3471  0.9697 1.943E-22 3.618E+04
1.576E-02 0.3467  0.9693 1.948E-22 3.631E+04
