    lam[um]     A_lam/A_V
   0.00100000     0.162840
   0.00101000     0.167697
   0.00103000     0.172495
   0.00104000     0.177493
   0.00106000     0.182622
   0.00107000     0.187685
   0.00108000     0.192822
   0.00110000     0.198098
   0.00111000     0.203302
   0.00113000     0.208498
   0.00114000     0.214274
   0.00116000     0.219968
   0.00117000     0.225580
   0.00119000     0.231334
   0.00121000     0.237133
   0.00122000     0.242845
   0.00124000     0.248471
   0.00126000     0.254604
   0.00127000     0.260785
   0.00129000     0.266958
   0.00131000     0.272874
   0.00133000     0.279098
   0.00134000     0.285535
   0.00136000     0.292384
   0.00138000     0.298454
   0.00140000     0.303743
   0.00142000     0.311003
   0.00144000     0.318284
   0.00146000     0.320695
   0.00148000     0.322829
   0.00150000     0.330847
   0.00152000     0.338249
   0.00154000     0.345338
   0.00156000     0.351422
   0.00158000     0.356957
   0.00160000     0.362676
   0.00162000     0.368469
   0.00164000     0.374037
   0.00167000     0.380142
   0.00169000     0.386638
   0.00171000     0.408439
   0.00173000     0.380186
   0.00176000     0.284108
   0.00178000     0.335090
   0.00181000     0.353337
   0.00183000     0.367130
   0.00185000     0.379031
   0.00188000     0.390687
   0.00191000     0.401114
   0.00193000     0.412066
   0.00196000     0.422702
   0.00198000     0.433089
   0.00201000     0.443279
   0.00204000     0.453264
   0.00207000     0.463065
   0.00209000     0.473682
   0.00212000     0.484430
   0.00215000     0.495414
   0.00218000     0.511007
   0.00221000     0.548440
   0.00224000     0.559974
   0.00227000     0.589912
   0.00230000     0.658084
   0.00233000     0.380995
   0.00236000     0.406459
   0.00239000     0.433231
   0.00243000     0.452843
   0.00246000     0.472320
   0.00249000     0.490586
   0.00253000     0.506976
   0.00256000     0.523093
   0.00260000     0.538672
   0.00263000     0.553488
   0.00267000     0.568022
   0.00270000     0.582296
   0.00274000     0.596361
   0.00278000     0.610891
   0.00281000     0.625742
   0.00285000     0.640658
   0.00289000     0.655311
   0.00293000     0.669655
   0.00297000     0.683924
   0.00301000     0.698215
   0.00305000     0.712194
   0.00309000     0.725870
   0.00313000     0.740642
   0.00317000     0.755484
